Name,Description,RefreshFrequency,PollingEnabled
LBCA6243,LBCA - AB,60,TRUE
LBCA6250,LBCA - AB,60,TRUE
LBCA6261,LBCA - BC,60,TRUE
LBCA6265,LBCA - ON,60,TRUE
LBCA6269,LBCA - ON,60,TRUE

